pump_id,lead_warning,lead_critical,trajectory_cycles
FD002_E004,85.0,31.0,215
FD002_E008,23.0,12.0,131
FD002_E027,42.0,19.0,156
FD002_E039,41.0,16.0,194
FD002_E047,65.0,23.0,226
FD002_E051,54.0,23.0,273
FD002_E052,48.0,17.0,154
FD002_E055,32.0,15.0,139
FD002_E063,46.0,21.0,148
FD002_E071,45.0,15.0,174
FD002_E076,41.0,16.0,224
FD002_E081,87.0,25.0,268
FD002_E083,82.0,24.0,150
FD002_E085,113.0,54.0,327
FD002_E089,57.0,25.0,168
FD002_E090,49.0,18.0,168
FD002_E095,51.0,20.0,178
FD002_E096,32.0,11.0,188
FD002_E097,28.0,18.0,125
FD002_E101,63.0,27.0,191
FD002_E102,143.0,17.0,144
FD002_E116,52.0,18.0,187
FD002_E122,31.0,16.0,165
FD002_E125,25.0,7.0,148
FD002_E127,47.0,23.0,236
FD002_E133,45.0,18.0,139
FD002_E135,51.0,22.0,274
FD002_E139,48.0,20.0,174
FD002_E149,106.0,22.0,269
FD002_E162,57.0,13.0,174
FD002_E169,58.0,21.0,165
FD002_E171,55.0,18.0,238
FD002_E173,21.0,14.0,131
FD002_E186,48.0,17.0,174
FD002_E189,45.0,26.0,189
FD002_E190,56.0,27.0,237
FD002_E197,40.0,21.0,134
FD002_E198,92.0,29.0,185
FD002_E208,32.0,12.0,130
FD002_E216,47.0,17.0,209
FD002_E217,16.0,12.0,142
FD002_E231,27.0,9.0,124
FD002_E232,89.0,24.0,222
FD002_E234,42.0,20.0,139
FD002_E239,69.0,27.0,243
FD002_E246,47.0,23.0,174
FD002_E248,72.0,23.0,214
FD002_E249,39.0,17.0,182
FD002_E251,60.0,17.0,246
FD002_E256,33.0,11.0,143
FD002_E258,67.0,28.0,123
FD002_E259,38.0,10.0,185
